Country,Country ID,Year,Exports (USD),Imports (USD)
Algeria,DZA,2024,11671496696,799920311
"Egypt, Arab Republic of",EGY,2024,16885803122,605397831
Libya,LBY,2024,3583209253,1161529181
Morocco,MAR,2024,10135537519,1108373002
Sudan,SDN,2024,833012441,560841463
Tunisia,TUN,2024,2918504221,420133644
Burundi,BDI,2024,89727873,22899981
Comoros,COM,2024,96572382,223725
Djibouti,DJI,2024,3036197729,20551289
Eritrea,ERI,2024,159573991,451785818
Ethiopia,ETH,2024,3142043611,409299720
Kenya,KEN,2024,6005280811,213593954
Madagascar,MDG,2024,1339743409,282831427
Mozambique,MOZ,2024,2486621560,2321420881
Mauritius,MUS,2024,1275169212,20970607
Malawi,MWI,2024,518660359,23606462
Rwanda,RWA,2024,508498485,159743066
Somalia,SOM,2024,968414410,3095967
South Sudan,SSD,2024,166173531,299967036
Seychelles,SYC,2024,79971143,238253
Tanzania,TZA,2024,6121841085,699967808
Uganda,UGA,2024,2668164054,96229795
Angola,AGO,2024,2447568002,16410449913
Central African Republic,CAF,2024,161290656,33068089
Cameroon,CMR,2024,3642971901,1070439315
Democratic Republic of the Congo,COD,2024,4334804555,21593151117
Republic of the Congo,COG,2024,1654058569,4209953745
Gabon,GAB,2024,720644399,2914732142
Equatorial Guinea,GNQ,2024,170081311,986264446
Sao Tome and Principe,STP,2024,20910323,15227
Chad,TCD,2024,373789136,755184873
Botswana,BWA,2024,239077663,768616090
Lesotho,LSO,2024,211443430,29328437
Namibia,NAM,2024,991440509,1821229586
Eswatini,SWZ,2024,50511898,535396
South Africa,ZAF,2024,21799100286,25748917792
Zambia,ZMB,2024,1999236996,2963635327
Zimbabwe,ZWE,2024,1459447669,2390869542
Benin,BEN,2024,677884753,180471349
Burkina Faso,BFA,2024,988641351,55286316
Côte d'Ivoire,CIV,2024,3259554586,745222590
Cape Verde,CPV,2024,76649467,8575
Ghana,GHA,2024,9840781899,1995964719
Guinea,GIN,2024,3929782561,7637875666
"Gambia, The",GMB,2024,446340695,78487307
GuineaBissau,GNB,2024,97036625,
Liberia,LBR,2024,13064153258,105586191.00
Mali,MLI,2024,1004831968,73373702.00
Mauritania,MRT,2024,1059035467,1351840864.00
Niger,NER,2024,331866710,605639870.00
Nigeria,NGA,2024,16576172918,3265194045.00
Senegal,SEN,2024,3559741867,994692569.00
Sierra Leone,SLE,2024,810657702,952794606.00
Togo,TGO,2024,2869325665,208009096.00
Kazakhstan,KAZ,2024,18885155019,15290074000.00
Kyrgyz Republic,KGZ,2024,12794575076,2784035219.00
Tajikistan,TJK,2024,3511810326,343318595.00
Turkmenistan,TKM,2024,1028841930,9618320000.00
Uzbekistan,UZB,2024,10904566637,2016297940.00
"Hong Kong (SAR, China)",HKG,2024,2.78147E+11,31832197880.00
Japan,JPN,2024,1.62194E+11,129785312503.00
"Korea, Republic of",KOR,2024,1.40969E+11,136670891313.00
Macau,MAC,2024,4019413801,97843893.00
Mongolia,MNG,2024,4523636310,13641972602.00
North Korea,PRK,2024,1816432237,337113485.00
Chinese Taipei,TWN,2024,77457954299,104997121534.00
Brunei,BRN,2024,724986168,2040921843.00
Indonesia,IDN,2024,74032154247,66025530312.00
Cambodia,KHM,2024,14548556104,2187005820.00
Lao People's Democratic Republic,LAO,2024,3185661594,4159085139.00
