Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Pakistan,1205642482,237086722.5,538424678.8,789399448,315665631.6,582236919.6,74768909.48,14595818.21,1610124134,2621185629,2422283508,1549260488,1412158103,1355417582,1464259150,13020570062,6984895241,11608798391,4021866396,5627317290,5884028152,3316836047,2591577731,6377823884,75626222396
Bangladesh,262554499.4,576217644.2,44626410.49,,23026918.32,103940320.4,11768864.24,3870414.625,143882149.5,,165590073.6,346927243.3,880523541.5,344448324.9,466934363.2,476416216.5,2078573364,897824789,6437841941,2352257048,3043709924,1406351019,215881015.5,358200982.5,20641367068
India,,1402972.025,,,62060220.81,143309632.1,224257960.2,261725554.2,1174644034,654675255.5,1799307722,2432103897,1002748260,344663990.2,97081581.81,551346547,712601125.2,202184012.4,88262.34799,96055566.87,312521553.9,361479521.8,,645500000,11079757670
Afghanistan,1185224.732,2603116.147,16610518.41,15956416.43,67506741.82,52112593.5,24609852.35,23299642.92,2989277439,9265782.333,26976922.59,18276303.77,738736.8471,,2732777.855,30573217.98,48700354.56,94252545.92,8075155.245,,11713536.55,49732441.05,7161939.44,8311675.23,3509672934
Albania,2844539.356,92007418.79,,1462522.698,6337015.775,2473854.71,,,,,1311861.242,1758042.917,85899.63338,,,1664500.677,1800213.724,5484759.693,156312.1073,1162513.625,150633.1379,,,,118700088.1
Algeria,,,,46359891.46,2541688.144,60129915.57,,852627.0911,,1927250.483,60800533.64,,,,,,19045168.8,31494926.12,146727.279,,7012075.744,56435068.19,53193.67427,22098.34056,286821164.5
Angola,,15328643.5,456647595.3,24750384.13,914380747.3,2641060214,6892695969,3609110811,2225835919,3944860546,4029261111,2422227896,2300784103,5084169474,4614154374,17102138094,8727408620,2769527243,5483676205,139534347.9,61478702.13,76814398.37,,291911706.2,73827757104
Antigua and Barbuda,,8417832.149,,,6354220.361,15900267.17,40570972.94,,66856809.08,4855612.194,1338536.707,62979596.69,16402827.42,53475301.34,13584435.15,1317524.119,98484023.76,2314474.879,58812427.86,17282559.63,,331970.9894,217309.6116,14814.81481,469511516.8
Argentina,,,,,,,,192887634.8,,,645705002.5,228080828.2,2362685850,3713301.19,7846119568,9431620731,813988680.4,2933258174,9573026087,723653064.4,181348862.6,101859739.6,1269799483,234302358.2,36542049364
Armenia,,,1394575.328,2174708.873,1906266.108,,,,2634461.893,901756.5503,18050158.43,,3500562.44,,13881526.93,35925674.79,,15747463.06,,,171069.5564,1682908.488,,,97971132.44
Australia,549592.5752,78834841.45,495594111.2,1741407051,625257401.5,587856249.8,1562624485,1961684960,34754815653,8251247394,5725718932,3964540703,7601190786,5906994388,4382249969,5735356974,10115972670,9198638274,6962814375,4110416659,4024921931,4120207053,4271018334,4257846377,1.30438E+11
Austria,,,,,,,,,,140674021.9,,,34153694.23,,102864046.3,,28097408.67,7086358.378,,,183793.0629,,124331464.7,,437390787.2
Azerbaijan,,,1394575.328,,2541688.144,3669292.424,,,,,,,32514535.04,31019138.74,4993355.009,583276521.6,39375048.78,49164233.84,157171600.7,546669606,22629897.27,143540567.2,45222.71796,,1618005283
Bahamas,,,,,56127512.8,100216.526,7655391.302,,,,3221111874,34094.91444,51231587.33,,1102469.67,156463.0636,80954.44585,53206.31905,3018.888882,539753.4953,10038.77008,316173.9655,2645.773568,37209480.9,3375734882
Bahrain,,,,,,,,102089070.9,,,,,,21713397.11,,,,,150944444.1,502074549.4,7222.13675,,,,776828683.7
Barbados,,,,2970046.095,,,,,202650.9148,,128613.8473,1519144372,,672674251,33289.03339,201445498.3,10387486.9,26328082.86,256492.2185,129748.4364,186690.0898,599392.0642,152296252.9,30000,2586812867
Belarus,1431691.569,2787026.09,2789150.656,1417522,1270844.072,475607161.9,,86477104.94,548800815.8,711347006.9,2390762471,1206242782,1054770664,574065262.1,30510207.13,1163580067,1593368737,372556366.9,915312204.7,721680727.7,195200.9438,73147634.4,59529905.28,,11987650555
Belgium,,,,,,,,,,,91944094.08,64631600.72,,,,209239676.3,,,58732407.46,130786423.9,105198.5675,33197098.94,1039858638,90105718.95,1718600857
Benin,42950747.06,,63099771.74,,4748971.88,161792149.6,7044551.973,34951718.47,40530182.96,26451738.72,41800366.88,14064343.33,33846382.74,235540475.9,8104215.18,303631413.6,93395682.53,107042498.3,1543976.505,364521638.2,14808810.2,776258830.1,58688150.03,76229438.24,2511046054
Bermuda,5926123.658,,,,,,,,,326491363.9,,,333815893,150856411.4,998683687.6,2645692168,652960469.5,449699808.6,,778490618.2,251433532.3,,,,6594050076
Bolivia,,4102290.201,,67501.04762,22828619.41,41976705.33,,4236989.563,1152077.119,1109854.216,374332177,90121842.94,5231287.673,25760548.13,1025553.181,529533828.6,689649420.1,445375350.2,53252424.56,,187108.8162,67481864.4,909.2956801,566072.4666,2357992424
Bosnia and Herzegovina,,2787026.09,,,5083376.289,2446194.949,235377.2847,,,4061528.624,,,487685149.5,10576022.2,680317.7665,,312736269.9,742783655.1,,47663058.64,250302.752,432724566.5,99256294.87,271374114.4,2420343255
Botswana,5580882.917,22447552.4,,75272864.68,,,50525138.22,32578900.92,6406061.745,1338848416,,3483080.975,,13969891.65,20002.86158,15409426.82,13131203.17,1080601.061,360561.7616,,3703661.754,3448227.742,54661.58405,2000000000,3586321136
